t,S,I,R
39.75,7086.625663862831,69.19271855151385,55.181617585653356
40.0,7083.303061288533,71.01614555719519,56.68079315426949
40.25,7079.894497459801,72.88602623218884,58.219476308008716
40.5,7076.397868345248,74.80345811171117,59.79867354303947
40.75,7072.811024839166,76.76956002537291,61.41941513545988
41.0,7069.1317721454,78.78547225192237,63.08275560267629
41.25,7065.357869173363,80.85235665850095,64.78977416813461
41.5,7061.487027947744,82.97139682318577,66.5415752290688
41.75,7057.516913033557,85.14379813953654,68.3392888269045
42.0,7053.445140978265,87.3707879018056,70.18407111992778
42.25,7049.269279772789,89.65361536940972,72.07710485780024
42.5,7044.986848333327,91.99355180920136,74.01959985747078
42.75,7040.595316005981,94.39189051401415,76.01279348000348
43.0,7036.092102096298,96.84994679589353,78.05795110780713
43.25,7031.474575425921,99.36905795235916,80.15636662171815
43.5,7026.7400539186665,101.95058320397904,82.3093628773526
43.75,7021.885804218423,104.59590360146956,84.51829218010548
44.0,7016.909041341393,107.30642190046748,86.78453675813732
44.25,7011.806928365298,110.08356240205269,89.10950923264745
44.5,7006.576576158274,112.92877075703187,91.49465308469193
44.75,7001.215043150312,115.84351373192521,93.94144311776095
45.0,6995.719335150183,118.82927893452982,96.451385915286
45.25,6990.086405210932,121.88757449686571,99.02602029220081
45.5,6984.313153547123,125.01992871324288,101.66691773963291
45.75,6978.396427507124,128.22788963112168,104.37568286175318
46.0,6972.333021603865,131.5130245923734,107.15395380376081
46.25,6966.119677607586,134.87691972248444,110.0034026699289
46.5,6959.753084704231,138.321179365186,112.92573593058273
46.75,6953.22987972324,141.84742545993169,115.92269481682843
47.0,6946.546647438617,145.4572968595892,118.99605570179361
47.25,6939.699920947256,149.15244858565896,122.14763046708471
47.5,6932.686182128609,152.93455101828334,125.37926685310732
47.75,6925.501862189898,156.80528901826506,128.6928487918368
48.0,6918.143342301161,160.76636097827281,132.09029672056587
48.25,6910.606954324527,164.81947780037825,135.5735678750951
48.5,6902.888981642191,168.96636179703933,139.14465656076996
48.75,6894.985660087671,173.2087455126235,142.80559439970583
49.0,6886.89317898497,177.54837046255054,146.55845055247934
49.25,6878.6076823003705,181.98698578712842,150.40533191250128
49.5,6870.1252699116185,186.52634681715904,154.3483832712224
49.75,6861.441998999335,191.16821354840437,158.38978745226083
50.0,6852.553885565497,195.91434902202656,162.53176541247626
50.25,6843.456906083894,200.7665176081521,166.7765763079535
50.5,6834.146999287445,205.72648318975774,171.12651752279677
50.75,6824.620068097288,210.79600724413748,175.58392465857486
51.0,6814.871981698516,215.97684681928695,180.15117148219784
51.25,6804.89857776742,221.27075240263184,184.83066982994904
51.5,6794.695664855025,226.67946567963673,189.6248694653394
51.75,6784.259024931648,232.20471717995497,194.5362578883982
52.0,6773.584416097112,237.84822380892547,199.5673600939639
52.25,6762.667575461125,243.61168626238555,204.72073827649064
52.5,6751.504222198205,249.49678632295394,209.99899147884233
52.75,6740.090060781351,255.50518403614356,215.40475518250634
53.0,6728.420784398485,261.6385147648931,220.94070083662277
53.25,6716.492078555447,267.89838612135827,226.60953532319544
53.5,6704.299624869094,274.2863747750812,232.41400035582487
53.75,6691.839105053757,280.80402313695845,238.35687180928497
54.0,6679.106205103991,287.4528359187571,244.4409589772524
54.25,6666.096619676224,294.23427656828443,250.66910375549213
54.5,6652.806056671496,301.14976358070004,257.04417974780495
54.75,6639.230242021075,308.2006666868718,263.56909129205343
55.0,6625.364924676281,315.3883029201173,270.24677240360234
55.25,6611.205881803318,322.7139325631437,277.08018563353824
55.5,6596.748924183431,330.1787549774966,284.07232083907303
55.75,6581.989901818055,337.78390431836027,291.2261938635855
56.0,6566.924709738077,345.5304451381072,298.54484512381663
56.25,6551.549294015606,353.4193678825852,306.03133810180896
56.5,6535.8596579759915,361.4515842847444,313.688757739265
56.75,6519.851868607048,369.62792266085177,321.52020873210114
57.0,6503.522063161703,377.94912311521205,329.5288137230863
57.25,6486.866455949409,386.4158326600093,337.7177113905825
57.5,6469.881345310846,395.02860025760583,346.0900544315494
57.75,6452.563120769492,403.7878717933776,354.6490074371309
58.0,6434.908270352751,412.6939849879291,363.3977446593207
58.25,6416.913388074295,421.7471642583134,372.3394476673925
58.5,6398.575181568334,430.94751553867684,381.4773028929893
58.75,6379.890479865445,440.2950210715618,390.814499062994
59.0,6360.856241298543,449.7895341819128,400.3542245195445
59.25,6341.469561526522,459.4307740466589,410.0996644268193
59.5,6321.727681661938,469.21832047356486,420.0539978644969
59.75,6301.627996488043,479.1516087038658,430.2203948080908
60.0,6281.168062749316,489.22992425400923,440.6020129966746
60.25,6260.345607498528,499.45239781262717,451.2019946888448
60.5,6239.158536482244,509.8180002096376,462.0234633081184
60.75,6217.604942545544,520.3255374751288,473.0695199793272
61.0,6195.683114035644,530.9736460064005,484.343239957955
61.25,6173.39154318302,541.7607878622193,495.84766895476037
61.5,6150.72893443757,552.6852462039878,507.58581935844177
61.75,6127.694212736361,563.7451209041108,519.5606663595282
62.0,6104.286531678508,574.9383243423742,531.7751439791173
62.25,6080.505281581846,586.2625774116182,544.2321410065354
62.5,6056.350097395175,597.7154057543707,556.9344968504538
62.75,6031.820866439107,609.2941362524276,569.8849973084651
63.0,6006.917735947817,620.9958937915816,583.086370260601
63.25,5981.641120383411,632.817598323836,596.5412812927519
63.5,5955.991708494098,644.7559622494665,610.252329256435
63.75,5929.970470086948,656.8074881412118,624.2220417718402
64.0,5903.578662485751,668.9684668326827,638.4528706815664
64.25,5876.817836644297,681.2349758927613,652.9471874629412
64.5,5849.689842885392,693.6028785073237,667.7072786072844
64.75,5822.196836236011,706.0678227890454,682.735340974943
65.0,5794.341281329281,718.6252415353465,698.0334771353723
65.25,5766.125956844343,731.2703524536852,713.6036907019715
65.5,5737.553959455771,743.9981588724266,729.4478816718013
65.75,5708.628707264909,756.8034509543862,745.5678417807038
66.0,5679.353942686409,769.6808074288747,761.9652498847155
66.25,5649.73373476433,782.6245978566621,778.6416673790078
66.5,5619.772480893373,795.6289854407247,795.5985336659021
