I0,peak_I,peak_I_fraction,time_to_peak,total_infected,attack_rate,beta,gamma,contact_rate,infection_prob,R0_eff,S_eq,I_eq,R_eq,S_crit,S_crit_fraction,scenario_id,scale_contact,scale_infection_prob,scale_gamma,csv_path,plot_path,heatmap_path,scenario_wall_time
1.0,3459.6453779799735,0.30476086839147054,39.25,10700.710091562683,0.9426277388621109,0.39424999999999993,0.13125,9.5,0.041499999999999995,3.0038095238095233,11352.0,0.0,0.0,3779.2010145846552,0.33291058972733045,39.0,0.95,1.0,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1313_timeseries.png,,3.953884899849072
1.0,3263.8852980726274,0.287516322945087,40.0,10587.827752864101,0.9326839105764712,0.39424999999999993,0.1375,9.5,0.041499999999999995,2.8672727272727268,11352.0,0.0,0.0,3959.162967660115,0.3487634749524414,40.0,0.95,1.0,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1375_timeseries.png,,3.948878200026229
1.0,4303.046617606479,0.37905625595546855,35.5,11048.971945467194,0.9733061967465816,0.41396249999999996,0.1125,9.5,0.043574999999999996,3.679666666666666,11352.0,0.0,0.0,3085.0620527221677,0.2717637467161881,41.0,0.95,1.05,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1125_timeseries.png,,3.9481276001315564
1.0,4082.448199325183,0.3596236962055306,36.0,10976.747169690021,0.9669439014878454,0.41396249999999996,0.11875,9.5,0.043574999999999996,3.4859999999999998,11352.0,0.0,0.0,3256.45438898451,0.2868617326448652,42.0,0.95,1.05,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1187_timeseries.png,,3.9400108999107033
1.0,3870.5343313008616,0.3409561602625847,36.5,10895.719580495268,0.95980616459613,0.41396249999999996,0.125,9.5,0.043574999999999996,3.3116999999999996,11352.0,0.0,0.0,3427.8467252468527,0.3019597185735423,43.0,0.95,1.05,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1250_timeseries.png,,3.9376540000084788
1.0,3667.09303650157,0.32303497502656536,37.0,10805.969441171806,0.9519000564809554,0.41396249999999996,0.13125,9.5,0.043574999999999996,3.1539999999999995,11352.0,0.0,0.0,3599.2390615091954,0.31705770450221943,44.0,0.95,1.05,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1313_timeseries.png,,3.9398657002020627
1.0,3471.802150670737,0.30583176098227066,37.5,10707.602247844525,0.9432348703175233,0.41396249999999996,0.1375,9.5,0.043574999999999996,3.010636363636363,11352.0,0.0,0.0,3770.631397771538,0.3321556904308966,45.0,0.95,1.05,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1375_timeseries.png,,3.9443134998437017
1.0,4494.046269121652,0.39588145429190025,33.75,11103.009003968204,0.97806633227345,0.433675,0.1125,9.5,0.045649999999999996,3.8548888888888886,11352.0,0.0,0.0,2944.831959416614,0.2594108491381795,46.0,0.95,1.1,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1125_timeseries.png,,3.9566818999592215
1.0,4275.1641350737755,0.37660008237084,34.0,11041.082161466784,0.972611184061556,0.433675,0.11875,9.5,0.045649999999999996,3.652,11352.0,0.0,0.0,3108.4337349397592,0.2738225629791895,47.0,0.95,1.1,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1187_timeseries.png,,3.955527100013569
1.0,4065.4581101486174,0.3581270357777147,34.5,10971.145108223773,0.9664504147483943,0.433675,0.125,9.5,0.045649999999999996,3.4694,11352.0,0.0,0.0,3272.0355104629043,0.2882342768201995,48.0,0.95,1.1,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1250_timeseries.png,,3.9588109001051635
1.0,3863.289329745649,0.3403179465949303,35.0,10893.227295666384,0.9595866187162072,0.433675,0.13125,9.5,0.045649999999999996,3.3041904761904757,11352.0,0.0,0.0,3435.63728598605,0.30264599066120945,49.0,0.95,1.1,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1313_timeseries.png,,3.9528190998826176
1.0,3668.979307582505,0.32320113703158077,35.25,10807.387826256296,0.9520250023129224,0.433675,0.1375,9.5,0.045649999999999996,3.1539999999999995,11352.0,0.0,0.0,3599.239061509195,0.31705770450221943,50.0,0.95,1.1,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1375_timeseries.png,,3.94340330013074
1.0,3875.665772003973,0.3414081899228306,40.25,10895.522431564868,0.9597887977065599,0.37349999999999994,0.1125,10.0,0.037349999999999994,3.3199999999999994,11352.0,0.0,0.0,3419.277108433736,0.30120481927710846,51.0,1.0,0.9,0.9,sir_data\sir_1_initial_infection_contact_rate_10.0000_infection_prob_0.0373_beta_0.3735_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate10.0000_infection_prob_0.0373_beta_0.3735_gamma_0.1125_timeseries.png,,0.2727451000828296
