t,S,I,R,beta,delta,contact_rate,infection_prob,I0
40.0,11342.442288226912,1.4137302943683971,8.143981478726813,0.04,0.07142857142857142,2.0,0.02,5
40.25,11342.42816282674,1.4026105107121585,8.16922666255482,0.04,0.07142857142857142,2.0,0.02,5
40.5,11342.414148548236,1.3915781729538268,8.194273278817537,0.04,0.07142857142857142,2.0,0.02,5
40.75,11342.400244517265,1.380632593693018,8.219122889048855,0.04,0.07142857142857142,2.0,0.02,5
41.0,11342.38644986657,1.3697730909286223,8.24377704250766,0.04,0.07142857142857142,2.0,0.02,5
41.25,11342.372763735715,1.3589989880164626,8.268237276274242,0.04,0.07142857142857142,2.0,0.02,5
41.5,11342.359185271032,1.3483096136272825,8.292505115345964,0.04,0.07142857142857142,2.0,0.02,5
41.75,11342.34571362557,1.3377043017050652,8.316582072732166,0.04,0.07142857142857142,2.0,0.02,5
42.0,11342.332347959033,1.3271823914256746,8.340469649548327,0.04,0.07142857142857142,2.0,0.02,5
42.25,11342.319087437741,1.3167432271558241,8.3641693351095,0.04,0.07142857142857142,2.0,0.02,5
42.5,11342.305931234572,1.3063861584123624,8.387682607022997,0.04,0.07142857142857142,2.0,0.02,5
42.75,11342.292878528906,1.2961105398218797,8.41101093128036,0.04,0.07142857142857142,2.0,0.02,5
43.0,11342.27992850658,1.2859157310806297,8.434155762348608,0.04,0.07142857142857142,2.0,0.02,5
43.25,11342.267080359834,1.2758010969147642,8.457118543260762,0.04,0.07142857142857142,2.0,0.02,5
43.5,11342.254333287263,1.265766007040879,8.479900705705669,0.04,0.07142857142857142,2.0,0.02,5
43.75,11342.241686493766,1.2558098361268688,8.502503670117113,0.04,0.07142857142857142,2.0,0.02,5
44.0,11342.229139190495,1.245931963753088,8.524928845762236,0.04,0.07142857142857142,2.0,0.02,5
44.25,11342.216690594807,1.2361317743738143,8.547177630829255,0.04,0.07142857142857142,2.0,0.02,5
44.5,11342.204339930217,1.2264086572790163,8.569251412514502,0.04,0.07142857142857142,2.0,0.02,5
44.75,11342.192086426345,1.2167620065564166,8.59115156710877,0.04,0.07142857142857142,2.0,0.02,5
45.0,11342.179929318872,1.207191221053855,8.612879460082992,0.04,0.07142857142857142,2.0,0.02,5
45.25,11342.167867849494,1.1976957043419434,8.63443644617324,0.04,0.07142857142857142,2.0,0.02,5
45.5,11342.155901265867,1.1882748646770156,8.65582386946506,0.04,0.07142857142857142,2.0,0.02,5
45.75,11342.144028821567,1.1789281149643642,8.67704306347715,0.04,0.07142857142857142,2.0,0.02,5
46.0,11342.132249776043,1.1696548727217673,8.69809535124437,0.04,0.07142857142857142,2.0,0.02,5
46.25,11342.120563394566,1.1604545600432987,8.718982045400116,0.04,0.07142857142857142,2.0,0.02,5
46.5,11342.108968948189,1.1513266035634235,8.739704448258033,0.04,0.07142857142857142,2.0,0.02,5
46.75,11342.097465713696,1.1422704344213728,8.760263851893095,0.04,0.07142857142857142,2.0,0.02,5
47.0,11342.086052973562,1.1332854882257974,8.780661538222049,0.04,0.07142857142857142,2.0,0.02,5
47.25,11342.074730015907,1.1243712050196992,8.800898779083223,0.04,0.07142857142857142,2.0,0.02,5
47.5,11342.06349613445,1.115527029245636,8.820976836315717,0.04,0.07142857142857142,2.0,0.02,5
47.75,11342.05235062846,1.1067524097111994,8.840896961837961,0.04,0.07142857142857142,2.0,0.02,5
48.0,11342.041292802729,1.0980467995547614,8.860660397725661,0.04,0.07142857142857142,2.0,0.02,5
48.25,11342.030321967508,1.0894096562114914,8.88026837628914,0.04,0.07142857142857142,2.0,0.02,5
48.5,11342.01943743848,1.0808404413796373,8.89972212015006,0.04,0.07142857142857142,2.0,0.02,5
48.75,11342.008638536705,1.0723386209870711,8.919022842317553,0.04,0.07142857142857142,2.0,0.02,5
49.0,11341.997924588588,1.0639036651580966,8.93817174626375,0.04,0.07142857142857142,2.0,0.02,5
49.25,11341.98729492583,1.0555350481805172,8.957170025998716,0.04,0.07142857142857142,2.0,0.02,5
49.5,11341.97674888539,1.0472322484729606,8.976018866144797,0.04,0.07142857142857142,2.0,0.02,5
49.75,11341.966285809445,1.0389947485524595,8.994719442010386,0.04,0.07142857142857142,2.0,0.02,5
50.0,11341.955905045343,1.0308220350022874,9.013272919663107,0.04,0.07142857142857142,2.0,0.02,5
50.25,11341.945605945566,1.0227135984400442,9.031680456002434,0.04,0.07142857142857142,2.0,0.02,5
50.5,11341.93538786769,1.0146689334859935,9.04994319883172,0.04,0.07142857142857142,2.0,0.02,5
50.75,11341.925250174347,1.006687538731647,9.068062286929685,0.04,0.07142857142857142,2.0,0.02,5
51.0,11341.915192233178,0.9987689167085942,9.086038850121321,0.04,0.07142857142857142,2.0,0.02,5
51.25,11341.905213416803,0.9909125738575778,9.10387400934826,0.04,0.07142857142857142,2.0,0.02,5
51.5,11341.895313102772,0.9831180204978096,9.121568876738573,0.04,0.07142857142857142,2.0,0.02,5
51.75,11341.885490673536,0.9753847707965282,9.139124555676034,0.04,0.07142857142857142,2.0,0.02,5
52.0,11341.875745516401,0.9677123427387939,9.15654214086883,0.04,0.07142857142857142,2.0,0.02,5
52.25,11341.866077023493,0.9601002580975208,9.173822718417737,0.04,0.07142857142857142,2.0,0.02,5
52.5,11341.85648459172,0.9525480424037432,9.190967365883765,0.04,0.07142857142857142,2.0,0.02,5
52.75,11341.846967622736,0.9450552249171157,9.20797715235526,0.04,0.07142857142857142,2.0,0.02,5
53.0,11341.837525522897,0.9376213385966431,9.224853138514495,0.04,0.07142857142857142,2.0,0.02,5
